model,Aligned,ppl_diff>0,uncertainty_diff>0,percentage
meta-llama/CodeLlama-7b-hf,False,False,False,13.47
meta-llama/CodeLlama-7b-hf,False,False,True,5.37
meta-llama/CodeLlama-7b-hf,False,True,False,4.45
meta-llama/CodeLlama-7b-hf,False,True,True,60.69
meta-llama/CodeLlama-7b-hf,True,False,False,5.13
meta-llama/CodeLlama-7b-hf,True,False,True,0.68
meta-llama/CodeLlama-7b-hf,True,True,False,1.35
meta-llama/CodeLlama-7b-hf,True,True,True,8.86
meta-llama/CodeLlama-13b-hf,False,False,False,13.43
meta-llama/CodeLlama-13b-hf,False,False,True,5.56
meta-llama/CodeLlama-13b-hf,False,True,False,4.85
meta-llama/CodeLlama-13b-hf,False,True,True,59.82
meta-llama/CodeLlama-13b-hf,True,False,False,5.09
meta-llama/CodeLlama-13b-hf,True,False,True,0.72
meta-llama/CodeLlama-13b-hf,True,True,False,1.35
meta-llama/CodeLlama-13b-hf,True,True,True,9.18
bigcode/starcoder2-7b,False,False,False,13.35
bigcode/starcoder2-7b,False,False,True,6.28
bigcode/starcoder2-7b,False,True,False,3.34
bigcode/starcoder2-7b,False,True,True,60.97
bigcode/starcoder2-7b,True,False,False,5.41
bigcode/starcoder2-7b,True,False,True,0.52
bigcode/starcoder2-7b,True,True,False,1.67
bigcode/starcoder2-7b,True,True,True,8.47
bigcode/starcoder2-3b,False,False,False,12.92
bigcode/starcoder2-3b,False,False,True,6.72
bigcode/starcoder2-3b,False,True,False,3.86
bigcode/starcoder2-3b,False,True,True,61.05
bigcode/starcoder2-3b,True,False,False,5.45
bigcode/starcoder2-3b,True,False,True,0.36
bigcode/starcoder2-3b,True,True,False,1.43
bigcode/starcoder2-3b,True,True,True,8.23
JetBrains/Mellum-4b-base,False,False,False,15.66
JetBrains/Mellum-4b-base,False,False,True,5.64
JetBrains/Mellum-4b-base,False,True,False,4.77
JetBrains/Mellum-4b-base,False,True,True,58.66
JetBrains/Mellum-4b-base,True,False,False,5.56
JetBrains/Mellum-4b-base,True,False,True,0.6
JetBrains/Mellum-4b-base,True,True,False,1.59
JetBrains/Mellum-4b-base,True,True,True,7.51
deepseek-ai/deepseek-coder-6.7b-base,False,False,False,13.2
deepseek-ai/deepseek-coder-6.7b-base,False,False,True,5.37
deepseek-ai/deepseek-coder-6.7b-base,False,True,False,4.97
deepseek-ai/deepseek-coder-6.7b-base,False,True,True,61.49
deepseek-ai/deepseek-coder-6.7b-base,True,False,False,4.93
deepseek-ai/deepseek-coder-6.7b-base,True,False,True,0.6
deepseek-ai/deepseek-coder-6.7b-base,True,True,False,1.31
deepseek-ai/deepseek-coder-6.7b-base,True,True,True,8.15
